 ,0, , , , ,4, , ,4, , ,5, ,2, , ,2,1,0
 , , , ,5, , , , , , , , , ,5, , ,4, , 
 ,0,2, ,6, , ,4, , ,6, , ,8,6,6,5, ,2, 
 ,1, ,5, ,6,6, , ,7,7, ,8, , , , , , , 
0, , , , ,6,6, ,6, ,7, , ,6, , ,6,6, , 
 , ,5,7, , , ,7,7, , ,7,7, ,5,5, , , ,3
 ,4,6, , ,6,5, ,5,3, , , , ,4,5,5, , , 
 , , , ,8,8, ,4, , , , ,7,6, , ,6,6,4, 
 , , ,6,8, ,6, , , ,4, , , ,6, ,7, , , 
5, ,6, , , ,5, ,2, ,4,5, ,7,8, , ,7, , 
6,7, ,6,5, , , , , , , , , ,7,5, ,7, ,3
 , , , , ,3,0, ,2, ,2, , , ,7, , ,6, , 
4, ,4,6,4, , , , , , ,2,4,4, , , , , , 
 , , , , , , ,3, ,5,4, , , , ,5, ,5, ,1
 ,5,5, ,7,7, , ,5,5, , ,6, ,7, , ,4, , 
 , , , , , , ,4, , , ,6, ,9,6,6, , , , 
5, , ,4,7,5, ,3,3, , , ,8,8,5, , , ,7, 
4, , ,4, ,4,4,2,3, , ,7,7, ,4, , ,6, ,6
 , , , , ,4, , ,0,0,2, , , , , , , , ,5
 ,4, ,5, , , , , , , , ,4,3, , ,3,4, , 
